,description,title,company,created,contract_time,adref,location,__CLASS__,salary_is_predicted,redirect_url,category,id,latitude,longitude,salary_max,salary_min,contract_type
0,"Luxury Presence is building the AI growth platform for real estate. Backed by Bessemer Venture Partners and other top investors, we're a Series C company on track to hit $100M in annual recurring revenue in the next six months. More than 90,000 real estate professionals, including over 30% of the WSJ Real Trends top 100 agents in the United States, use us to run and grow their business. The Opportunity We don't just use AI. We build with it, ship with it, and think with it. We're in the top 1% …",Sr. Data Engineer - CANADA (Remote),"{'display_name': 'Luxury Presence', '__CLASS__': 'Adzuna::API::Response::Company'}",2026-04-12T16:21:11Z,full_time,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWkxVTmNKNWo4UkdhOU84NmRwcEcxUSIsImkiOiI1Njk3NTcxNTQyIn0.7fXwKwmmnbhzYIJ99_P_a457_AyFaJ91fJTghvEOtAk,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Canada'], 'display_name': 'Canada'}",Adzuna::API::Response::Job,0,https://www.adzuna.ca/details/5697571542?utm_medium=api&utm_source=dc9dca8a,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'Engineering Jobs', 'tag': 'engineering-jobs'}",5697571542,,,,,
1,"Luxury Presence is building the AI growth platform for real estate. Backed by Bessemer Venture Partners and other top investors, we're a Series C company on track to hit $100M in annual recurring revenue in the next six months. More than 90,000 real estate professionals, including over 30% of the WSJ Real Trends top 100 agents in the United States, use us to run and grow their business. About the Role We’re seeking a Staff Software Engineer to strengthen our real estate MLS data platform squad.…",Staff Data Engineer - CANADA (Remote),"{'display_name': 'Luxury Presence', '__CLASS__': 'Adzuna::API::Response::Company'}",2025-12-20T13:30:54Z,full_time,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWkxVTmNKNWo4UkdhOU84NmRwcEcxUSIsImkiOiI1NTUwMDE1OTA1In0.K8icKfw6j4tzszRjKWMpbPOlMEzGm267hhlfZbGBpk8,"{'display_name': 'Canada', 'area': ['Canada'], '__CLASS__': 'Adzuna::API::Response::Location'}",Adzuna::API::Response::Job,0,https://www.adzuna.ca/details/5550015905?utm_medium=api&utm_source=dc9dca8a,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'engineering-jobs', 'label': 'Engineering Jobs'}",5550015905,,,,,
2,"Who we are Artefact is a new generation of a data service provider, specializing in data consulting and data-driven digital marketing, dedicated to transforming data into business impact across the entire value chain of organizations. We are proud to say that we’re enjoying skyrocketing growth. Our broad range of data-driven solutions in data consulting and digital marketing are designed to meet our clients’ specific needs, always conceived with a business-centric approach and delivered with ta…",Senior Data Engineer - (Canada-based),"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Artefact US'}",2026-06-03T16:50:38Z,,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWkxVTmNKNWo4UkdhOU84NmRwcEcxUSIsImkiOiI1NzUwOTk4OTEwIn0.k1gZlYqnWXqLvWQ0UPRozkdOG5tfNr7dbrt4t-9q2m8,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Canada', 'Québec', 'Montréal'], 'display_name': 'Montréal, Québec'}",Adzuna::API::Response::Job,0,https://www.adzuna.ca/details/5750998910?utm_medium=api&utm_source=dc9dca8a,"{'__CLASS__': 'Adzuna::API::Response::Category', 'label': 'IT Jobs', 'tag': 'it-jobs'}",5750998910,45.544959,-73.588138,,,
3,"About the job Do you think like a management consultant, thrive in a startup environment, and can’t stop thinking about the intersection of data, technology, and AI? With over 2000 employees, offices on five continents, and world-class clients like Samsung, L’Oreal, and LVMH, Artefact is a consulting firm that transforms data into value and business impact. Who We Are Founded and headquartered in Paris, Artefact is a next-generation consulting firm, specializing in data, analytics & AI consulti…",Junior Data Engineer - (Canada-based),"{'display_name': 'Artefact US', '__CLASS__': 'Adzuna::API::Response::Company'}",2026-06-03T17:02:28Z,,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc1MTA4NTI3NyIsInMiOiJaTFVOY0o1ajhSR2E5Tzg2ZHBwRzFRIn0.-w_ozicO_sJdsskZil2QFj2ql94yhYxmQye_27lAwEk,"{'display_name': 'Montréal, Québec', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Canada', 'Québec', 'Montréal']}",Adzuna::API::Response::Job,0,https://www.adzuna.ca/details/5751085277?utm_medium=api&utm_source=dc9dca8a,"{'tag': 'it-jobs', 'label': 'IT Jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",5751085277,45.544959,-73.588138,,,
4,"Description Key Responsibilities: Architect and design large-scale, distributed big data solutions using Java and big data technologies to handle high-volume data processing and analytics. Optimize and tune Spark applications for better performance on large-scale data sets. Work with the Cloudera Hadoop ecosystem (e.g., HDFS, Hive, Impala, HBase, Kafka) to build data pipelines and storage solutions. Collaborate with data scientists, business analysts, and other developers to understand data req…",Architect - Data Engineering - Mississauga - Canada,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Photon Group'}",2025-02-08T06:01:07Z,full_time,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWkxVTmNKNWo4UkdhOU84NmRwcEcxUSIsImkiOiI1MDQyNzMyNDk0In0.p8ZJ5qbeIXQCP2xV3trQkNxHQBDY5TFhFoqZRRVdjy4,"{'display_name': 'Canada', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Canada']}",Adzuna::API::Response::Job,0,https://www.adzuna.ca/details/5042732494?utm_medium=api&utm_source=dc9dca8a,"{'tag': 'it-jobs', 'label': 'IT Jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",5042732494,,,,,
5,"Description Key Responsibilities: Develop, test, and deploy data processing applications using Apache Spark and Scala. Optimize and tune Spark applications for better performance on large-scale data sets. Work with the Cloudera Hadoop ecosystem (e.g., HDFS, Hive, Impala, HBase, Kafka) to build data pipelines and storage solutions. Collaborate with data scientists, business analysts, and other developers to understand data requirements and deliver solutions. Design and implement high-performance…",Sr Developer - Data Engineering - Mississauga - Canada,"{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Photon Group'}",2025-02-08T05:57:31Z,full_time,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTA0MjcyODMxMCIsInMiOiJaTFVOY0o1ajhSR2E5Tzg2ZHBwRzFRIn0.XQ83bpHhfZcFEzLCVqwR-j9jYGMJJ1b_l_B2p1BHZSE,"{'__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Canada'], 'display_name': 'Canada'}",Adzuna::API::Response::Job,0,https://www.adzuna.ca/details/5042728310?utm_medium=api&utm_source=dc9dca8a,"{'tag': 'it-jobs', 'label': 'IT Jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",5042728310,,,,,
6,"Build a Safer World. TRM Labs provides AI-powered intelligence solutions that help public and private sector agencies investigate and disrupt crime. TRM's platforms enable investigators to trace illicit activity, build cases, and construct operating pictures of threat networks. Leading agencies and businesses worldwide rely on TRM to make the world safer and more secure. The Data Product team collaborates with an experienced group of data scientists, engineers, and product managers to build hig…","Senior Software Engineer, Data Product - Canada","{'display_name': 'TRM Labs', '__CLASS__': 'Adzuna::API::Response::Company'}",2026-05-23T16:37:55Z,full_time,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWkxVTmNKNWo4UkdhOU84NmRwcEcxUSIsImkiOiI1NzM5MDU2MjIzIn0.u5Uc1KR0JO4lCNTOU4XdZlFF6ZCE5mRTkq9EPYQX2D4,"{'display_name': 'Canada', 'area': ['Canada'], '__CLASS__': 'Adzuna::API::Response::Location'}",Adzuna::API::Response::Job,0,https://www.adzuna.ca/details/5739056223?utm_medium=api&utm_source=dc9dca8a,"{'__CLASS__': 'Adzuna::API::Response::Category', 'tag': 'engineering-jobs', 'label': 'Engineering Jobs'}",5739056223,,,220000.0,190000.0,
7,"Ready to make your next big professional move? Join us on our journey to achieve our big dream of building the most loved restaurant brands in the world. Restaurant Brands International Inc. is one of the world's largest quick service restaurant companies with nearly $45 billion in annual system-wide sales and over 32,000 restaurants in more than 120 countries and territories. RBI owns four of the world's most prominent and iconic quick service restaurant brands – TIM HORTONS®, BURGER KING®, PO…","Data Engineer III, Tim Hortons, Canada","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Restaurant Brands International'}",2026-03-01T15:25:10Z,full_time,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY1MDQ4MzI0MiIsInMiOiJaTFVOY0o1ajhSR2E5Tzg2ZHBwRzFRIn0.R1Y9Jlz2ahH3YLIaJELL37erjCqvM3kLia0gk36E0H4,"{'display_name': 'Canada', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Canada']}",Adzuna::API::Response::Job,0,https://www.adzuna.ca/details/5650483242?utm_medium=api&utm_source=dc9dca8a,"{'tag': 'it-jobs', 'label': 'IT Jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",5650483242,,,130000.0,110000.0,
8,"Chez Amazon, nous nous efforçons d'être l'entreprise la plus centrée sur le client au monde. Pour y parvenir, nous avons besoin de personnes exceptionnellement talentueuses, brillantes et motivées. En tant que membre de l'équipe AWS Controls, vous travaillerez avec des experts et des innovateurs très motivés dans le secteur des centres de données. Vous serez responsable de l'innovation, du déploiement, de l'optimisation et de la maintenance des systèmes d'automatisation au sein des centres de d…","Ingénieur des contrôles de centre de données, Nouvelles régions (Canada) - Data Center Controls Engineer, Canada","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Amazon Data Services Canada, Inc.'}",2026-03-18T01:00:26Z,full_time,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWkxVTmNKNWo4UkdhOU84NmRwcEcxUSIsImkiOiI1NjcwMzc3NTg0In0.5jF_Zyv0qkuqP1ASRZUigSJGkT7jHXNWY_1KNnb3AGM,"{'display_name': 'Varennes, Lajemmerais', 'area': ['Canada', 'Québec', 'Montérégie', 'Lajemmerais', 'Varennes'], '__CLASS__': 'Adzuna::API::Response::Location'}",Adzuna::API::Response::Job,0,https://www.adzuna.ca/details/5670377584?utm_medium=api&utm_source=dc9dca8a,"{'tag': 'it-jobs', 'label': 'IT Jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",5670377584,45.676171,-73.424798,,,
9,"The mission of Speechify is to make sure that reading is never a barrier to learning. Over 50 million people use Speechify’s text-to-speech products to turn whatever they’re reading – PDFs, books, Google Docs, news articles, websites – into audio, so they can read faster, read more, and remember more. Speechify’s text-to-speech reading products include its iOS app, Android App, Mac App, Chrome Extension, and Web App. Google recently named Speechify the Chrome Extension of the Year and Apple nam…","Software Engineer, Data Infrastructure & Acquisition - Calgary, Canada","{'__CLASS__': 'Adzuna::API::Response::Company', 'display_name': 'Speechify'}",2026-04-21T16:18:14Z,,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWkxVTmNKNWo4UkdhOU84NmRwcEcxUSIsImkiOiI1NzA2MzY5NDk2In0.kqG6OhIhPDly3hAGxLhv8hE0keqN3YwagT4qV6Up4Is,"{'display_name': 'Calgary, Calgary region', '__CLASS__': 'Adzuna::API::Response::Location', 'area': ['Canada', 'Alberta', 'Calgary region', 'Calgary']}",Adzuna::API::Response::Job,0,https://www.adzuna.ca/details/5706369496?utm_medium=api&utm_source=dc9dca8a,"{'label': 'IT Jobs', 'tag': 'it-jobs', '__CLASS__': 'Adzuna::API::Response::Category'}",5706369496,,,,,
